timestamp_ms,latitude,longitude,altitude_m,fix_quality,satellites,hdop,speed_kn,heading_deg
3243364,41.4906567,-91.7034093,194.3580,1,20,0.8,0.05428,2113
3243443,41.4906568,-91.7034093,194.3624,1,20,0.8,0.05428,2113
3243819,41.4906569,-91.7034095,194.3385,1,20,0.8,0.05070,2113
3243955,41.4906569,-91.7034095,194.3385,1,20,0.8,0.05070,2113
3244380,41.4906571,-91.7034095,194.3183,1,20,0.8,0.04775,2113
3244565,41.4906571,-91.7034095,194.3183,1,20,0.8,0.04775,2113
3244882,41.4906571,-91.7034095,194.3183,1,20,0.8,0.04775,2113
3245100,41.4906571,-91.7034095,194.3183,1,20,0.8,0.07528,2113
3245279,41.4906572,-91.7034096,194.3245,1,06,2.1,0.07528,2113
3245426,41.4906572,-91.7034096,194.3245,1,06,2.1,0.07528,2113
3245501,41.4906572,-91.7034096,194.3245,1,06,2.1,0.07528,2113
3245707,41.4906571,-91.7034097,194.3027,1,06,2.1,0.07528,2113
3245875,41.4906571,-91.7034097,194.3027,1,06,2.1,0.07528,2113
3245965,41.4906572,-91.7034097,194.3105,1,06,2.1,0.07528,2113
3246108,41.4906572,-91.7034096,194.3149,1,06,2.1,0.09530,2113
3246268,41.4906572,-91.7034096,194.3149,1,06,2.1,0.09530,2113
3246508,41.4906572,-91.7034099,194.2760,1,05,3.3,0.14543,2113
3246670,41.4906572,-91.7034099,194.2760,1,05,3.3,0.14543,2113
3246809,41.4906572,-91.7034095,194.3340,1,06,2.1,0.21594,2113
3246911,41.4906570,-91.7034097,194.3173,1,06,2.1,0.18120,2113
3247187,41.4906570,-91.7034097,194.3173,1,06,2.1,0.18120,2113
3247436,41.4906570,-91.7034096,194.3143,1,06,2.1,0.18750,2113
3247498,41.4906570,-91.7034096,194.3143,1,06,2.1,0.18750,2113
3247682,41.4906571,-91.7034096,194.3030,1,06,2.1,0.18750,2113
3247834,41.4906571,-91.7034096,194.3030,1,06,2.1,0.18750,2113
3247883,41.4906571,-91.7034098,194.3111,1,06,2.1,0.18750,2113
3247997,41.4906571,-91.7034098,194.3111,1,06,2.1,0.18750,2113
3248227,41.4906572,-91.7034095,194.3359,1,06,2.1,0.18750,2113
3248304,41.4906572,-91.7034095,194.3359,1,06,2.1,0.18750,2113
3248489,41.4906571,-91.7034096,194.3213,1,06,2.1,0.1724332,2113
3248639,41.4906571,-91.7034096,194.3213,1,06,2.1,0.1724332,2113
3248708,41.4906570,-91.7034097,194.2978,1,06,2.1,0.1724332,2113
3248893,41.4906570,-91.7034097,194.2978,1,06,2.1,0.1724332,2113
3249094,41.4906571,-91.7034096,194.3188,1,06,2.1,0.1724332,2113
3249249,41.4906571,-91.7034096,194.3188,1,06,2.1,0.1724332,2113
3249362,41.4906571,-91.7034096,194.3188,1,06,2.1,0.15828,2113
3249627,41.4906571,-91.7034096,194.3264,1,06,2.1,0.10808,2113
3249785,41.4906571,-91.7034096,194.3264,1,06,2.1,0.10808,2113
3250002,41.4906571,-91.7034096,194.3264,1,06,2.1,0.09420,2113
3250054,41.4906572,-91.7034096,194.3095,1,06,2.1,0.09420,2113
3250235,41.4906571,-91.7034097,194.3097,1,06,2.1,0.10755,2113
3250436,41.4906571,-91.7034098,194.3158,1,06,2.1,0.10755,2113
3250507,41.4906571,-91.7034098,194.3158,1,06,2.1,0.10755,2113
3250818,41.4906570,-91.7034098,194.3295,1,06,2.1,0.10755,2113
3250976,41.4906570,-91.7034098,194.3295,1,06,2.1,0.10755,2113
3251161,41.4906570,-91.7034098,194.3295,1,06,2.1,0.10755,2113
3251286,41.4906570,-91.7034098,194.3295,1,06,2.1,0.10755,2113
3251523,41.4906570,-91.7034098,194.3295,1,06,2.1,0.12171,2113
3251613,41.4906571,-91.7034101,194.3047,1,06,2.1,0.05810,2113
3251710,41.4906572,-91.7034101,194.3183,1,06,2.1,0.10811,2113
3251873,41.4906572,-91.7034101,194.3183,1,06,2.1,0.10811,2113
3252005,41.4906570,-91.7034099,194.3380,1,06,2.1,0.06301,2113
3252354,41.4906570,-91.7034101,194.3050,1,06,2.1,0.07849,2113
3252476,41.4906570,-91.7034101,194.3050,1,06,2.1,0.07849,2113
3252694,41.4906571,-91.7034103,194.3296,1,06,2.1,0.04479,2113
3252843,41.4906571,-91.7034103,194.3296,1,06,2.1,0.04479,2113
3253179,41.4906571,-91.7034102,194.3338,1,06,2.1,0.09369,2113
3253307,41.4906571,-91.7034102,194.3338,1,06,2.1,0.09369,2113
3253765,41.4906569,-91.7034103,43941694,1,06,2.1,0.09369,2113
3253951,41.4906570,-91.7034102,194.3629,1,06,2.1,0.20021,2113
3254047,41.4906570,-91.7034103,194.3360,1,06,2.1,0.20021,2113
3254198,41.4906570,-91.7034103,194.3360,1,06,2.1,0.20021,2113
3254393,41.4906570,-91.7034103,194.3360,1,06,2.1,0.20021,2113
3254483,41.4906570,-91.7034106,194.3520,1,06,2.1,0.20021,2113
3254603,41.4906567,-91.7034106,194.3426,1,06,2.1,0.20581,2113
3254909,41.4906569,-91.7034105,194.3619,1,06,2.1,0.12478,2113
3255072,41.4906569,-91.7034105,194.3619,1,06,2.1,0.12478,2113
3255212,41.4906540,-91.7034134,194.5914,1,06,2.1,0.18169,2113
3255452,41.4906538,-91.7034134,194.6050,1,06,2.1,0.23747,2113
3255627,41.4906538,-91.7034134,194.6050,1,06,2.1,0.23747,2113
3255713,41.4906539,-91.7034133,194.6150,1,06,2.1,0.24040,2113
3255867,41.4906539,-91.7034133,194.6150,1,06,2.1,0.24040,2113
3255998,41.4906538,-91.7034134,194.5961,1,06,2.1,0.27022,2113
3256105,41.4906539,-91.7034134,194.6075,1,06,2.1,0.25088,2113
3256233,41.4906539,-91.7034134,194.6075,1,06,2.1,0.25088,2113
3256500,41.4906539,-91.7034133,194.6201,1,06,2.1,0.30955,2113
3256656,41.4906539,-91.7034133,194.6201,1,06,2.1,0.30955,2113
3257042,41.4906539,-91.7034134,194.6133,1,06,2.1,0.28004,2113
3257220,41.4906539,-91.7034134,194.6133,1,06,2.1,0.28004,2113
3257298,41.4906539,-91.7034134,194.6133,1,06,2.1,0.28004,2113
3257512,41.4906538,-91.7034145,194.6381,1,06,2.1,0.28004,2113
3257681,41.4906538,-91.7034145,194.6381,1,06,2.1,0.28004,2113
3257905,41.4906538,-91.7034145,194.6381,1,06,2.1,0.28004,2113
3258117,41.4906538,-91.7034145,194.6381,1,06,2.1,0.28004,2113
3258519,41.4906540,-91.7034145,194.6820,1,06,2.1,0.28004,2113
3258684,41.4906540,-91.7034145,194.6820,1,06,2.1,0.28004,2113
3258788,41.4906540,-91.7034145,194.6820,1,06,2.1,0.28004,2113
3258987,41.4906540,-91.7034154,194.7046,1,06,2.1,0.16275,2113
3259096,41.4906540,-91.7034154,194.7046,1,06,2.1,0.12371,2113
3259241,41.4906541,-91.7034154,194.6975,1,06,2.1,0.12371,2113
3259341,41.4906541,-91.7034154,194.6967,1,06,2.1,0.09607,2113
3259399,41.4906541,-91.7034154,194.6967,1,06,2.1,0.09607,2113
3259461,41.4906541,-91.7034157,194.6988,1,06,2.1,0.09607,2113
3259602,41.4906541,-91.7034157,194.6988,1,06,2.1,0.08825,2113
3259840,41.4906539,-91.7034156,194.6904,1,06,2.1,0.08831,2113
3259956,41.4906539,-91.7034156,194.6904,1,06,2.1,0.08831,2113
3260222,41.4906539,-91.7034156,194.6904,1,06,2.1,0.08831,2113
